date,amount,request_type,country,Company
1/1/2012,19,http_404,United States,Apple
1/2/2012,6,http_404,Canada,IBM
1/3/2012,28,http_404,Mexico,Google
1/4/2012,15,http_404,Argentina,Facebook
2/5/2012,8,http_404,Brazil,Netflix
2/7/2012,34,http_404,Brazil,Facebook
1/6/2012,14,http_404,Cuba,Tesla
1/7/2012,26,http_404,United States,Twitter
1/8/2012,24,http_404,Canada,Apple
1/9/2012,11,http_404,Mexico,IBM
3/10/2012,25,http_404,Argentina,Google
1/11/2012,12,http_404,Brazil,Facebook
1/12/2012,33,http_404,Cuba,Netflix
3/10/2012,55,http_404,Argentina,Google
